iter	RMSE
243	24460.83354
244	24447.3331
245	24433.92462
246	24408.33338
247	24393.67834
248	24377.80297
249	24368.46212
250	24361.18101
251	24347.06265
252	24327.36598
253	24321.07583
254	24292.66376
255	24271.87719
256	24258.61678
257	24252.65065
258	24241.16721
259	24227.25932
260	24220.31138
261	24209.2473
262	24201.49275
263	24190.49996
264	24178.79491
265	24157.11003
266	24145.15918
267	24131.7578
268	24113.39844
269	24105.82433
270	24091.85537
271	24080.01642
272	24074.18014
273	24069.13682
274	24059.50787
275	24037.5548
276	24020.8251
277	24014.96658
278	24001.68626
279	23993.76673
280	23986.24802
281	23968.38833
282	23962.39851
283	23952.71461
284	23940.54653
285	23929.76791
286	23919.65411
287	23888.29771
288	23884.30219
289	23871.07803
290	23862.6831
291	23851.54634
292	23821.49522
293	23803.62416
294	23781.24132
295	23742.72702
296	23726.27489
297	23718.01992
298	23704.0856
299	23684.86625
300	23667.62857
301	23644.44212
302	23640.52805
303	23624.16786
304	23613.10281
305	23592.3414
306	23570.45183
307	23557.38359
308	23547.5563
309	23535.11781
310	23521.79154
311	23512.16096
312	23507.30425
313	23481.73074
314	23469.11118
315	23464.90413
316	23452.47681
317	23439.6951
318	23419.08099
319	23409.92676
320	23398.02711
321	23385.84041
322	23367.50549
323	23351.84179
324	23339.47829
325	23326.98132
326	23313.74203
327	23304.62442
328	23301.00904
329	23294.90069
330	23281.9625
331	23276.9681
332	23260.54957
333	23252.15655
334	23236.87737
335	23223.68818
336	23219.15459
337	23203.28561
338	23199.89421
339	23187.16411
340	23176.86711
341	23169.98121
342	23161.2068
343	23147.31742
344	23125.48458
345	23115.59437
346	23098.65306
347	23092.10767
348	23081.7972
349	23058.29509
350	23046.70184
351	23027.7934
352	23011.36184
353	23006.58652
354	22992.8962
355	22980.75816
356	22965.01207
357	22955.53927
358	22946.24192
359	22935.43691
360	22920.00568
361	22915.76877
362	22904.55803
363	22897.87489
364	22886.96735
365	22873.2419
366	22862.662
367	22855.50633
368	22843.93174
369	22822.0944
370	22813.95289
371	22802.9647
372	22791.00019
373	22776.21136
374	22767.13247
375	22755.37241
376	22739.20572
377	22733.10337
378	22716.32201
379	22707.66772
380	22700.62421
381	22677.86124
382	22668.08639
383	22655.00004
384	22651.3794
385	22644.35564
386	22627.65739
387	22608.42623
388	22592.34762
389	22580.74234
390	22567.95158
391	22556.61498
392	22553.1938
393	22541.53461
394	22530.05692
395	22519.39872
396	22515.28229
397	22504.54405
398	22494.70998
399	22486.6684
400	22470.2326
401	22459.42047
402	22447.9468
403	22436.99117
404	22428.49245
405	22409.80718
406	22406.13001
407	22394.66186
408	22380.10422
409	22369.9732
410	22352.84646
411	22340.37531
412	22322.00934
413	22310.34611
414	22299.66157
415	22289.83715
416	22273.15583
417	22268.82201
418	22248.98314
419	22231.10036
420	22217.44828
421	22203.93228
422	22193.82909
423	22185.28487
424	22170.83906
425	22151.0978
426	22142.42681
427	22131.54671
428	22119.85307
429	22117.49314
430	22107.3887
431	22096.47405
432	22083.28376
433	22067.54974
434	22056.31941
435	22051.43725
436	22040.63077
437	22028.35452
438	22011.06857
439	21995.71036
440	21982.2624
441	21970.71257
442	21960.61876
443	21943.12056
444	21939.51443
445	21932.60456
446	21926.6215
447	21912.898
448	21902.13998
449	21898.16613
450	21882.73682
451	21867.91497
452	21857.67058
453	21849.58919
454	21842.76858
455	21837.18143
456	21823.04365
457	21810.89006
458	21800.68188
459	21791.31235
460	21776.70542
461	21774.21075
462	21758.5539
463	21745.7497
464	21736.12307
465	21725.61445
466	21711.35728
467	21709.60773
468	21696.81225
469	21688.01411
470	21683.09821
471	21671.68793
472	21661.30894
473	21648.90952
474	21630.87917
475	21619.60721
476	21614.13047
477	21605.10686
478	21590.47582
479	21582.90337
480	21571.99689
481	21558.35531
482	21544.73903
483	21540.24485
484	21530.38997
485	21518.39312
486	21507.70851
487	21495.00634
488	21485.53448
489	21477.00097
490	21464.96639
491	21453.50521
492	21442.42769
493	21436.92888
494	21427.80401
495	21418.85974
496	21408.59709
497	21398.65054
498	21387.32365
499	21375.02439
500	21361.30703
501	21350.74583
502	21340.44672
503	21329.03091
504	21312.47026
505	21306.24384
506	21294.63256
507	21285.0458
508	21278.91026
509	21268.62087
510	21256.01649
511	21252.62401
512	21247.02502
513	21238.76564
514	21230.14035
515	21220.71827
516	21218.68963
517	21207.45889
518	21196.51049
519	21186.56161
520	21171.02972
521	21157.22675
522	21147.62652
523	21139.80627
524	21127.41449
525	21118.57647
526	21106.21446
527	21102.09001
528	21086.75217
529	21076.77983
530	21068.98279
531	21057.11818
532	21047.67946
533	21038.00672
534	21030.82339
535	21028.0248
536	21013.15964
537	21004.97533
538	20998.89049
539	20986.9616
540	20975.49696
541	20973.91226
542	20960.00317
543	20949.9637
544	20937.31577
545	20926.35329
546	20916.05138
547	20902.88885
548	20895.49125
549	20888.79426
550	20877.70603
551	20868.50518
552	20862.44749
553	20852.89492
554	20843.78697
555	20834.41513
556	20827.81156
557	20812.70361
558	20808.99685
559	20800.56259
560	20791.73529
561	20777.51108
562	20771.01693
563	20763.25041
564	20749.6513
565	20740.69761
566	20732.8623
567	20729.41
568	20719.04329
569	20709.11899
570	20699.53041
571	20693.96231
572	20679.53995
573	20664.29058
574	20657.86665
575	20650.71597
576	20643.7318
577	20636.46421
578	20625.73111
579	20617.24535
580	20605.55612
581	20594.43311
582	20587.81623
583	20586.56829
584	20577.14772
585	20560.86009
586	20556.31103
587	20548.52725
588	20539.76176
589	20533.06813
590	20524.43333
591	20517.27375
592	20511.74037
593	20508.93799
594	20501.23536
595	20490.58007
596	20481.98664
597	20475.40467
598	20464.86618
599	20456.95172
600	20453.86515
601	20442.88776
602	20435.51311
603	20426.17601
604	20419.94217
605	20414.50499
606	20408.0281
607	20402.24665
608	20395.22645
609	20382.51864
610	20369.79187
611	20365.20541
612	20357.64288
613	20351.42938
614	20345.16808
615	20334.20357
616	20330.01286
617	20320.86776
618	20312.48343
619	20302.6317
620	20298.25712
621	20290.21306
622	20281.05573
623	20273.94798
624	20272.91887
625	20263.90719
626	20259.48063
627	20250.68533
628	20244.89867
629	20234.30747
630	20225.71156
631	20216.70443
632	20206.88691
633	20202.67386
634	20198.66063
635	20192.62675
636	20185.44899
637	20176.36824
638	20166.8157
639	20160.40838
640	20153.49398
641	20150.51344
642	20140.15654
643	20133.61603
644	20126.69363
645	20118.10662
646	20113.75622
647	20108.62347
648	20103.47674
649	20097.69484
650	20083.4901
651	20077.79612
652	20073.04454
653	20058.84111
654	20045.97493
655	20041.32798
656	20034.66747
657	20025.34331
658	20014.84857
659	20009.41314
660	20000.29752
661	19991.01546
662	19982.15518
663	19974.2268
664	19966.32621
665	19963.56334
666	19954.75739
667	19949.83771
668	19945.7015
669	19941.07051
670	19932.92195
671	19923.37469
672	19913.2524
673	19907.00709
674	19900.08338
675	19893.18978
676	19887.44236
677	19880.1832
678	19873.85578
679	19867.81946
680	19864.58317
681	19856.94588
682	19848.49981
683	19838.60497
684	19834.6733
685	19826.7192
686	19820.57754
687	19810.41342
688	19805.61366
689	19799.45571
690	19791.56474
691	19784.87695
692	19780.09233
693	19772.36933
694	19767.86884
695	19757.43101
696	19753.5212
697	19748.08475
698	19737.92599
699	19730.20013
700	19722.57659
701	19714.64182
702	19700.9827
703	19695.45427
704	19688.85191
705	19683.46651
706	19674.69895
707	19668.81128
708	19663.2839
709	19661.42068
710	19656.68201
711	19650.7272
712	19645.55752
713	19636.88975
714	19631.32902
715	19628.16957
716	19619.29139
717	19613.08319
718	19606.62539
719	19598.33843
720	19592.57065
721	19587.29941
722	19583.06433
723	19578.29776
724	19571.30434
725	19563.97176
726	19557.12474
727	19546.59221
728	19542.05887
729	19533.82838
730	19525.81377
731	19519.99552
732	19508.69182
733	19503.13745
734	19501.19847
735	19492.19472
736	19482.01604
737	19472.49754
738	19458.38446
739	19454.06924
740	19450.65975
741	19445.15642
742	19436.16315
743	19426.57049
744	19417.73402
745	19409.11602
746	19400.44252
747	19395.84399
748	19387.76292
749	19382.43633
750	19366.92096
751	19359.23384
752	19354.70635
753	19347.22534
754	19341.18405
755	19334.2582
756	19329.63249
757	19323.13358
758	19316.80497
759	19313.70561
760	19308.46918
761	19302.43183
762	19297.25824
763	19292.14652
764	19285.96323
765	19278.83336
766	19268.59088
767	19259.3043
768	19255.89846
769	19251.66312
770	19245.04072
771	19242.15722
772	19237.11212
773	19230.28849
774	19223.54003
775	19217.71358
776	19210.70229
777	19206.41732
778	19200.50539
779	19189.18884
780	19180.51865
781	19171.19239
782	19165.52178
783	19158.9745
784	19148.49979
785	19139.45294
786	19126.7313
787	19119.10528
788	19116.08554
789	19111.32844
790	19104.59697
791	19098.76603
792	19093.82179
793	19088.99343
794	19081.21127
795	19075.0656
796	19062.2145
797	19053.62596
798	19049.62467
799	19044.50397
800	19037.87732
801	19031.23887
802	19019.03818
803	19015.23118
804	19008.94884
805	19003.60605
806	18997.6281
807	18989.92521
808	18985.70787
809	18981.45091
810	18975.35433
811	18966.77261
812	18959.69089
813	18950.7907
814	18944.78003
815	18941.08688
816	18935.62699
817	18931.02086
818	18919.08102
819	18912.88457
820	18902.39253
821	18896.76768
822	18888.88577
823	18884.05066
824	18878.29066
825	18871.08248
826	18865.1229
827	18855.75805
828	18845.38928
829	18834.50385
830	18829.80109
831	18822.02172
832	18813.16672
833	18803.86802
834	18795.03681
835	18788.53459
836	18785.62856
837	18780.53415
838	18771.01809
839	18762.49284
840	18755.79244
841	18749.78796
842	18740.60653
843	18731.28826
844	18728.3618
845	18721.37278
846	18715.90289
847	18710.66334
848	18703.50302
849	18697.39908
850	18693.45654
851	18682.12157
852	18680.18031
853	18672.67965
854	18666.32969
855	18659.82143
856	18655.84958
857	18648.92238
858	18639.70634
859	18629.27167
860	18620.62837
861	18613.53607
862	18605.99296
863	18600.36539
864	18593.44635
865	18589.12654
866	18582.83504
867	18579.41711
868	18571.70713
869	18564.84741
870	18559.71501
871	18555.6812
872	18548.66859
873	18545.35697
874	18543.44045
875	18536.72101
876	18527.92434
877	18520.44057
878	18513.02417
879	18509.68336
880	18503.44615
881	18496.68357
882	18488.42494
883	18480.50647
884	18478.57265
885	18476.88484
886	18468.9705
887	18461.54177
888	18456.03762
889	18450.21931
890	18446.05377
891	18441.13006
892	18430.46466
893	18425.05688
894	18422.2595
895	18414.41678
896	18413.04012
897	18401.15686
898	18399.51093
899	18395.19632
900	18393.24733
901	18379.98001
902	18376.33713
903	18372.99442
904	18364.45791
905	18358.72357
906	18351.28021
907	18342.55251
908	18339.0183
909	18328.36128
910	18324.12316
911	18319.23183
912	18315.01759
913	18308.07363
914	18302.47621
915	18296.89971
916	18288.71921
917	18280.39258
918	18275.71449
919	18271.74377
920	18266.53183
921	18258.18633
922	18248.806
923	18245.33399
924	18238.77359
925	18234.55517
926	18230.04944
927	18225.67798
928	18218.09727
929	18213.21731
930	18199.67129
931	18194.42807
932	18188.48091
933	18182.29131
934	18175.72102
935	18169.20551
936	18164.45819
937	18159.08458
938	18153.88576
939	18148.9621
940	18140.17178
941	18135.23013
942	18130.59521
943	18124.20361
944	18119.00227
945	18115.00903
946	18108.99684
947	18101.52316
948	18097.77508
949	18094.29462
950	18088.4233
951	18085.27221
952	18076.13699
953	18071.95663
954	18065.35082
955	18062.69507
956	18058.2753
957	18053.22109
958	18047.07664
959	18043.71021
960	18038.28888
961	18035.45707
962	18029.9893
963	18025.3614
964	18022.63612
965	18019.26653
966	18015.79037
967	18008.06633
968	17998.90805
969	17993.20704
970	17986.55564
971	17983.44636
972	17975.9029
973	17970.86381
974	17962.86226
975	17958.96655
976	17951.51936
977	17941.33552
978	17935.85485
979	17930.73445
980	17926.40219
981	17922.28298
982	17916.92458
983	17914.18395
984	17911.1442
985	17906.52762
986	17903.51039
987	17900.50289
988	17895.66568
989	17888.59428
990	17883.11377
991	17877.15715
992	17873.10247
993	17868.79801
994	17863.65413
995	17860.05395
996	17856.80166
997	17850.40028
998	17847.0773
999	17843.33371
